City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
516,Imamoglu,TR,82.11,clear sky,37.2651,35.6572,İSAK TATAR
517,Tual,ID,81.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
518,Narayanganj,BD,83.77,overcast clouds,23.6233,90.5011,Ameer Hussain
519,Bacolod,PH,79.81,broken clouds,10.6667,122.95,Planta Hotel & Residences
524,Pahrump,US,85.69,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
525,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
526,Maragogi,BR,80.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
527,Wewak,PG,80.8,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
528,Gizo,SB,80.89,light rain,-8.103,156.8419,Imagination Island
529,Sobradinho,BR,86.02,broken clouds,-12.8333,-39.1,Pousada Pau Brasil
531,Ishigaki,JP,81.25,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
532,Vanimo,PG,78.39,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
533,Hobyo,SO,79.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
538,Kirkenaer,NO,82.99,clear sky,60.4564,12.0582,Skaslien Gjestgiveri
540,Namibe,AO,75.22,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
545,Pemangkat,ID,80.87,few clouds,1.1667,108.9667,Ramah Kost KITA
547,Ormond Beach,US,86.05,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
548,Callaguip,PH,84.22,broken clouds,18.0714,120.4867,Pangil Beach Resort
552,Asilah,MA,75.16,overcast clouds,35.465,-6.0348,Hotel Zelis
560,Boueni,YT,80.58,clear sky,-12.9025,45.0761,The feet in water
564,Tomatlan,MX,88.99,scattered clouds,19.9333,-105.25,Norma franco
566,Dharmadam,IN,79.63,scattered clouds,11.7833,75.4333,Samudra Homes
569,Ternate,ID,81.73,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
571,Puerto Del Rosario,ES,78.48,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
574,Khash,IR,87.66,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
578,Iquitos,PE,86.04,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
581,Arcachon,FR,80.92,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
584,Lingsugur,IN,83.82,overcast clouds,16.1667,76.5167,Hanamantappa police house
587,Vieques,PR,87.82,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
590,Wajir,KE,88.38,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
591,Abu Samrah,SY,82.9,clear sky,35.3029,37.1841,
592,Vilhena,BR,84.42,clear sky,-12.7406,-60.1458,Hotel Mirage
595,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
598,Waingapu,ID,76.77,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
608,Lumut,MY,80.62,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
610,Mayumba,GA,78.93,scattered clouds,-3.432,10.6554,LIKWALE LODGE
613,Hacari,CO,75.96,broken clouds,8.3233,-73.1489,
616,Langsa,ID,76.33,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
619,Vaxjo,SE,75.79,clear sky,56.8777,14.8091,Elite Stadshotellet Vaxjo
625,Oriximina,BR,89.46,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
626,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
631,Domoni,KM,77.67,few clouds,-12.2569,44.5319,Al Djadid
634,Caravelas,BR,83.44,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
638,Amapa,BR,82.99,scattered clouds,1.0,-52.0,
639,Bonthe,SL,81.46,light rain,7.5264,-12.505,Bonthe Holiday Village
640,Viransehir,TR,84.42,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
642,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
646,Basco,PH,84.87,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
647,Qiongshan,CN,84.18,clear sky,20.0058,110.3542,Sun City Restaurant
649,Sanlucar De Barrameda,ES,88.36,clear sky,36.7781,-6.3515,HOTEL BARRAMEDA
652,Paka,MY,78.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
654,Sendhwa,IN,77.4,light rain,21.6833,75.1,Hotel Shagun Garden
657,San Patricio,US,84.29,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
658,Qaracala,AZ,80.04,clear sky,39.8132,48.9523,
661,Ca Mau,VN,81.39,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
663,Rockport,US,84.45,scattered clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
666,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
668,Emba,KZ,79.7,clear sky,48.8264,58.1442,
669,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
678,Boyolangu,ID,75.58,overcast clouds,-8.1181,111.8935,Yos ega cv
679,Ambon,ID,80.06,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
682,Robertsport,LR,81.59,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
683,Yarada,IN,88.12,scattered clouds,17.65,83.2667,Jeevan
688,Tucuma,BR,86.85,few clouds,-0.1833,-50.05,
689,Acarau,BR,86.85,clear sky,-2.8856,-40.12,castelo pizzaria
691,Cravo Norte,CO,84.04,heavy intensity rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
692,Lusambo,CD,81.82,overcast clouds,-4.9667,23.45,
695,Sechura,PE,75.27,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
697,Muros,ES,85.68,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
702,Zhezkazgan,KZ,76.21,broken clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
703,Ozinki,RU,76.64,clear sky,51.1786,49.6769,Korolevskiy Dvor
705,Una,IN,83.17,broken clouds,20.8167,71.0333,Hotel Harbhole
707,Lixourion,GR,77.0,clear sky,38.2019,20.4314,Hotel Summery
713,Tecoanapa,MX,89.47,broken clouds,16.5167,-98.75,Hotel Manglares
716,Korla,CN,79.92,scattered clouds,41.7597,86.1469,Gulisitan Hotel
