City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Taoudenni,ML,2021-05-23 21:47:09,22.6783,-3.9836,101.03,15,6,9.33
68,Suez,EG,2021-05-23 21:48:46,29.9737,32.5263,66.16,77,1,9.57
69,Beloha,MG,2021-05-23 21:46:40,-25.1667,45.05,63.05,93,0,7.27
70,Guane,CU,2021-05-23 21:48:46,22.2025,-84.0875,86.27,41,96,12.46
71,Atuona,PF,2021-05-23 21:44:11,-9.8,-139.0333,79.57,80,25,19.66
72,Lorengau,PG,2021-05-23 21:48:47,-2.0226,147.2712,81.86,79,51,6.08
73,Hobart,AU,2021-05-23 21:44:38,-42.8794,147.3294,48.11,87,75,5.01
74,Buenavista,PH,2021-05-23 21:48:47,8.9769,125.4089,75.2,90,23,3.87
75,Sao Sepe,BR,2021-05-23 21:47:19,-30.1606,-53.5653,57.15,72,100,14.65
76,Kozlovo,RU,2021-05-23 21:48:48,56.5167,36.2667,47.52,91,12,11.5
77,Swidnik,PL,2021-05-23 21:48:48,51.219,22.6962,53.53,82,0,5.75
78,Comodoro Rivadavia,AR,2021-05-23 21:48:48,-45.8667,-67.5,58.86,55,0,21.85
79,Mao,ES,2021-05-23 21:44:45,39.8885,4.2658,57.76,94,0,12.66
80,Sao Francisco De Paula,BR,2021-05-23 21:48:49,-29.4481,-50.5836,49.91,79,70,14.23
81,Gat,IL,2021-05-23 21:44:03,31.61,34.7642,68.68,80,11,2.01
82,Qaanaaq,GL,2021-05-23 21:44:06,77.484,-69.3632,28.47,79,3,4.32
83,Angoche,MZ,2021-05-23 21:44:27,-16.2325,39.9086,71.47,83,58,9.62
84,Leningradskiy,RU,2021-05-23 21:47:09,69.3833,178.4167,31.57,87,69,0.56
85,Buala,SB,2021-05-23 21:47:34,-8.145,159.5921,80.71,84,100,13.85
86,Chokurdakh,RU,2021-05-23 21:46:30,70.6333,147.9167,26.76,95,96,3.29
87,Slavkov U Brna,CZ,2021-05-23 21:48:50,49.1533,16.8765,50.79,90,0,3.69
88,Tautira,PF,2021-05-23 21:48:50,-17.7333,-149.15,84.22,77,63,8.23
89,Souillac,MU,2021-05-23 21:47:56,-20.5167,57.5167,71.98,84,40,11.83
90,Ust-Omchug,RU,2021-05-23 21:48:50,61.15,149.6333,40.33,66,34,0.63
91,Emerald,AU,2021-05-23 21:48:51,-23.5333,148.1667,55.54,67,8,8.05
92,Quelimane,MZ,2021-05-23 21:48:51,-17.8786,36.8883,69.75,88,75,5.99
93,Palmer,US,2021-05-23 21:45:51,42.1584,-72.3287,80.67,65,75,4.0
94,Coihaique,CL,2021-05-23 21:48:52,-45.5752,-72.0662,51.75,82,75,8.05
95,Alofi,NU,2021-05-23 21:47:25,-19.0595,-169.9187,82.29,89,68,6.91
96,Acaponeta,MX,2021-05-23 21:48:52,22.4964,-105.3594,96.01,21,32,12.28
97,Svetlogorsk,BY,2021-05-23 21:48:53,52.6333,29.7333,49.41,91,96,5.1
98,Kasulu,TZ,2021-05-23 21:48:53,-4.5767,30.1025,64.17,85,18,1.66
99,Dikson,RU,2021-05-23 21:44:13,73.5069,80.5464,28.45,90,100,16.49
100,Khatanga,RU,2021-05-23 21:43:59,71.9667,102.5,35.67,92,100,7.92
101,Ixtapa,MX,2021-05-23 21:48:21,20.7,-105.2,92.52,32,1,7.78
102,Christchurch,NZ,2021-05-23 21:45:13,-43.5333,172.6333,51.01,90,40,5.01
103,Mahebourg,MU,2021-05-23 21:44:23,-20.4081,57.7,71.89,88,40,2.3
104,Gainesville,US,2021-05-23 21:46:52,29.6516,-82.3248,89.85,34,1,1.01
105,Hajnowka,PL,2021-05-23 21:45:51,52.7433,23.5812,50.02,78,100,1.01
106,Tuktoyaktuk,CA,2021-05-23 21:44:21,69.4541,-133.0374,33.8,86,75,12.66
107,Pingliang,CN,2021-05-23 21:48:54,35.5392,106.6861,51.8,58,0,5.46
108,Fortuna,US,2021-05-23 21:47:42,40.5982,-124.1573,77.47,60,1,3.0
109,Uthal,PK,2021-05-23 21:48:55,25.8072,66.6219,82.49,76,27,6.76
110,Santa Lucia,ES,2021-05-23 21:48:55,27.9117,-15.5407,60.76,74,40,19.06
111,Edgewater,US,2021-05-23 21:48:55,28.9889,-80.9023,89.26,52,50,8.12
112,Yellowknife,CA,2021-05-23 21:40:37,62.456,-114.3525,64.33,45,40,5.99
113,Havre,FR,2021-05-23 21:48:56,49.5833,0.3333,57.43,67,90,23.04
114,Hanzhong,CN,2021-05-23 21:46:22,33.0728,107.0303,60.94,71,100,1.25
115,Hilo,US,2021-05-23 21:44:36,19.7297,-155.09,80.33,79,40,13.8
116,Maceio,BR,2021-05-23 21:45:42,-9.6658,-35.7353,76.44,79,0,7.9
117,Kidal,ML,2021-05-23 21:48:57,18.4411,1.4078,96.1,19,92,14.94
118,Nador,MA,2021-05-23 21:48:57,35.174,-2.9287,64.65,56,0,9.73
119,Luwuk,ID,2021-05-23 21:47:52,-0.9516,122.7875,76.17,89,87,5.91
120,Honiara,SB,2021-05-23 21:48:57,-9.4333,159.95,76.82,90,100,8.03
121,Bredasdorp,ZA,2021-05-23 21:44:16,-34.5322,20.0403,57.27,48,70,6.31
122,Avarua,CK,2021-05-23 21:43:58,-21.2078,-159.775,80.65,83,75,12.66
123,Torbay,CA,2021-05-23 21:44:11,47.6666,-52.7314,51.58,92,90,25.32
124,Quatre Cocos,MU,2021-05-23 21:48:58,-20.2078,57.7625,71.71,79,60,11.54
125,Pretoria,ZA,2021-05-23 21:48:59,-25.7449,28.1878,56.21,55,83,1.63
126,Brunswick,US,2021-05-23 21:46:37,41.2381,-81.8418,87.4,48,75,1.99
127,Sedro-Woolley,US,2021-05-23 21:45:43,48.5039,-122.2361,63.5,80,90,7.09
128,Portland,US,2021-05-23 21:48:28,45.5234,-122.6762,63.61,81,90,1.99
129,Georgetown,MY,2021-05-23 21:42:47,5.4112,100.3354,82.89,87,20,1.99
130,Westport,US,2021-05-23 21:48:10,41.1415,-73.3579,89.58,67,90,13.29
131,Lahaina,US,2021-05-23 21:49:00,20.8783,-156.6825,84.2,73,12,5.95
132,Mutsu,JP,2021-05-23 21:49:00,41.2894,141.2169,59.0,89,79,10.0
133,Sao Gabriel Da Cachoeira,BR,2021-05-23 21:44:46,-0.1303,-67.0892,78.31,94,99,1.61
134,Ben Tre,VN,2021-05-23 21:49:00,10.2333,106.3833,75.65,96,100,5.55
135,Clyde River,CA,2021-05-23 21:44:10,70.4692,-68.5914,21.43,93,90,14.97
136,Carnarvon,AU,2021-05-23 21:41:24,-24.8667,113.6333,59.07,100,75,3.44
137,Cidreira,BR,2021-05-23 21:44:11,-30.1811,-50.2056,58.1,69,42,27.04
138,Hofn,IS,2021-05-23 21:44:33,64.2539,-15.2082,41.67,82,81,16.84
139,Angouleme,FR,2021-05-23 21:49:01,45.65,0.15,55.72,91,0,7.05
