City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Rochegda,RU,62.8,43.25,46.89,50,85,4.65,overcast clouds
80,Fortuna,US,40.5982,-124.1573,56.66,87,97,5.32,overcast clouds
81,Batemans Bay,AU,-35.7167,150.1833,43.92,86,0,4.32,clear sky
82,Wladyslawowo,PL,54.7909,18.4009,57.65,68,41,13.65,scattered clouds
83,Pandan,PH,14.0453,124.1694,80.58,84,100,4.59,overcast clouds
84,Esterhazy,CA,50.65,-102.0843,52.66,58,52,14.27,broken clouds
85,Campbell River,CA,50.0163,-125.2446,54.59,95,90,2.3,overcast clouds
86,Mount Gambier,AU,-37.8333,140.7667,42.71,81,19,8.05,few clouds
87,Pedasi,PA,7.5333,-80.0333,78.44,71,48,5.77,scattered clouds
88,Zunyi,CN,27.6867,106.9072,65.97,82,58,1.36,broken clouds
89,Faanui,PF,-16.4833,-151.75,79.79,78,88,13.85,light rain
90,Port Hedland,AU,-20.3167,118.5667,66.25,82,90,6.91,overcast clouds
91,Fairbanks,US,64.8378,-147.7164,53.56,65,1,10.36,clear sky
92,Nanortalik,GL,60.1432,-45.2371,36.97,88,97,15.86,overcast clouds
93,Barrow,US,71.2906,-156.7887,28.42,93,90,11.5,overcast clouds
94,Kruisfontein,ZA,-34.0033,24.7314,58.89,66,100,8.37,overcast clouds
95,Saint George,US,37.1041,-113.5841,83.35,16,1,1.01,clear sky
96,Anadyr,RU,64.75,177.4833,37.9,64,0,6.55,clear sky
97,Cabedelo,BR,-6.9811,-34.8339,84.87,75,78,13.42,broken clouds
98,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.77,78,61,3.98,broken clouds
99,San Quintin,MX,30.4833,-115.95,59.38,75,100,9.71,overcast clouds
100,Ola,RU,59.5833,151.2833,35.44,99,100,4.68,light rain
101,Kyshtovka,RU,56.555,76.6271,63.43,68,15,9.17,few clouds
102,Tombouctou,ML,20.0,-3.0,110.82,4,78,10.67,broken clouds
103,Maldonado,UY,-34.6667,-54.9167,53.22,51,8,15.48,clear sky
104,Vaini,TO,-21.2,-175.2,78.01,84,93,14.2,light rain
105,Hermanus,ZA,-34.4187,19.2345,64.9,73,95,4.27,overcast clouds
106,Kapaa,US,22.0752,-159.319,71.58,88,1,3.18,clear sky
107,Pacific Grove,US,36.6177,-121.9166,56.43,87,90,3.0,overcast clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,78,0,9.22,clear sky
109,Kitimat,CA,54.0524,-128.6534,50.92,95,100,0.27,moderate rain
110,Carauari,BR,-4.8828,-66.8958,91.11,51,66,3.53,broken clouds
111,Palmer,US,42.1584,-72.3287,49.48,83,90,1.01,heavy intensity rain
112,Kutum,SD,14.2,24.6667,94.78,12,18,11.56,few clouds
113,Lebu,CL,-37.6167,-73.65,54.3,66,100,4.05,light rain
114,Bonavista,CA,48.6499,-53.1147,64.4,70,5,2.59,clear sky
115,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,64,40,9.22,scattered clouds
116,Bjorkelangen,NO,59.8848,11.5694,82.69,38,4,9.04,clear sky
117,Farafangana,MG,-22.8167,47.8333,73.38,87,3,9.69,light rain
118,Shakhtinsk,KZ,49.71,72.5872,72.16,37,34,11.05,scattered clouds
119,Nueva Loja,EC,0.0847,-76.8828,71.08,100,90,2.3,moderate rain
120,Paamiut,GL,61.994,-49.6678,35.47,92,78,20.92,broken clouds
121,Geraldton,AU,-28.7667,114.6,61.21,77,75,16.53,light rain
122,Mashhad,IR,36.297,59.6062,96.94,19,20,9.22,few clouds
123,Airai,TL,-8.9266,125.4092,58.87,91,99,1.92,overcast clouds
124,Karema,TZ,-6.8205,30.4389,72.93,68,12,4.0,few clouds
125,Kushmurun,KZ,52.4503,64.6311,66.99,77,66,1.74,moderate rain
126,Khatanga,RU,71.9667,102.5,35.85,99,100,3.89,overcast clouds
127,Gap,FR,44.6667,6.0,55.83,60,90,4.74,overcast clouds
128,Husavik,IS,66.0449,-17.3389,57.11,48,90,18.59,overcast clouds
129,Taitung,TW,22.7583,121.1444,81.7,86,100,6.6,heavy intensity rain
130,Sao Filipe,CV,14.8961,-24.4956,73.26,79,94,9.8,overcast clouds
131,Nikolskoye,RU,59.7035,30.7861,55.29,36,9,7.96,clear sky
132,Saint-Denis,FR,48.9167,2.3333,76.14,39,0,8.99,clear sky
133,Tiksi,RU,71.6872,128.8694,30.87,95,6,7.85,clear sky
134,Avera,US,33.194,-82.5271,74.71,52,49,7.96,scattered clouds
135,Leshukonskoye,RU,64.8989,45.7622,44.24,50,97,6.08,overcast clouds
136,Rabo De Peixe,PT,37.8,-25.5833,67.51,60,20,10.67,few clouds
137,Aritao,PH,16.2979,121.0345,75.6,94,86,1.32,overcast clouds
138,Champasak,LA,14.75,106.0,80.67,80,100,0.2,overcast clouds
139,Bontang,ID,0.1333,117.5,80.49,84,65,8.46,broken clouds
140,Ilhabela,BR,-23.7781,-45.3581,72.05,94,100,3.4,overcast clouds
141,Golub-Dobrzyn,PL,53.1109,19.0538,57.42,65,51,12.77,broken clouds
142,Saint Anthony,US,45.0205,-93.218,56.01,72,90,1.99,overcast clouds
143,Saurimo,AO,-9.6608,20.3916,73.36,35,62,3.8,broken clouds
144,Nome,US,64.5011,-165.4064,46.47,37,1,18.41,clear sky
145,Thompson,CA,55.7435,-97.8558,39.36,81,90,6.91,overcast clouds
146,Flinders,AU,-34.5833,150.8552,53.2,80,29,1.01,scattered clouds
147,Dunedin,NZ,-45.8742,170.5036,50.81,98,100,10.65,overcast clouds
148,Diamantino,BR,-14.4086,-56.4461,89.58,33,81,3.11,broken clouds
149,Clarksburg,US,39.2807,-80.3445,55.8,78,90,4.23,overcast clouds
150,Bubaque,GW,11.2833,-15.8333,78.03,73,59,13.33,broken clouds
151,Ixtapa,MX,20.7,-105.2,81.23,78,1,0.0,clear sky
152,Havre,FR,49.5833,0.3333,71.58,68,43,11.43,scattered clouds
153,Kavieng,PG,-2.5744,150.7967,81.16,80,96,9.48,moderate rain
154,Warmbad,NA,-28.45,18.7333,65.35,29,12,7.45,few clouds
155,Raga,SS,8.4596,25.678,88.43,35,65,7.34,broken clouds
156,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,20,6.2,few clouds
157,Yatou,CN,37.15,122.3833,57.34,97,26,4.85,light rain
158,Zaranj,AF,30.9667,61.8833,100.36,7,0,18.05,clear sky
159,Vila Velha,BR,-20.3297,-40.2925,87.75,60,0,7.0,moderate rain
160,Ilinskiy,RU,55.619,38.1182,56.52,44,0,11.18,clear sky
161,Marawi,PH,7.9986,124.2928,68.65,93,100,1.77,moderate rain
162,Araguaina,BR,-7.1911,-48.2072,90.54,30,37,7.29,scattered clouds
163,Hinatuan,PH,8.3722,126.3342,75.79,95,100,5.55,overcast clouds
164,Kedrovyy,RU,56.1667,91.8167,37.81,67,25,2.3,scattered clouds
165,Roald,NO,62.5833,6.1333,71.17,71,0,9.22,clear sky
166,Bellevue,US,47.6104,-122.2007,63.55,71,1,1.01,clear sky
167,Saint-Philippe,RE,-21.3585,55.7679,72.95,86,34,9.37,scattered clouds
168,Port Hawkesbury,CA,45.6169,-61.3485,59.09,75,75,5.01,broken clouds
169,Lata,PT,40.1629,-8.3327,91.72,51,42,10.4,scattered clouds
170,Carnarvon,AU,-24.8667,113.6333,60.87,94,0,8.05,clear sky
171,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,83.68,44,70,5.03,broken clouds
172,Pekin,CN,39.9075,116.3972,70.21,67,50,4.9,light rain
173,Cherskiy,RU,68.75,161.3,50.94,48,15,6.38,few clouds
174,Cervo,ES,43.6702,-7.4101,77.2,75,85,8.3,overcast clouds
175,Cascais,PT,38.6979,-9.4215,84.06,53,20,13.8,few clouds
